Cloudy,Rain,Sprinkler,WetGrass
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,-73.300755766,-89.8854085938
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,-73.300755766,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,-73.300755766,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,-11.309932474,-73.300755766,-89.8854085938
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,-73.300755766,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,0.0,0.0,-89.8854085938
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,0.0,68.1985905136,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,-73.300755766,-89.8854085938
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,-73.300755766,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,68.1985905136,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,-73.300755766,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,-73.300755766,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,-73.300755766,89.4270613023
11.309932474,0.0,0.0,-89.8854085938
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,-73.300755766,-89.8854085938
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,-73.300755766,-89.8854085938
11.309932474,0.0,68.1985905136,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,-73.300755766,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,-73.300755766,-89.8854085938
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,-73.300755766,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,0.0,68.1985905136,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,0.0,68.1985905136,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,0.0,0.0,-89.8854085938
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,-73.300755766,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,-73.300755766,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,0.0
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,-73.300755766,0.0
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,-73.300755766,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,-73.300755766,0.0
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,0.0,68.1985905136,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,68.1985905136,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,0.0,68.1985905136,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,0.0,68.1985905136,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,-73.300755766,-89.8854085938
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,-73.300755766,0.0
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,-73.300755766,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,0.0
11.309932474,0.0,68.1985905136,0.0
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,68.1985905136,0.0
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,-73.300755766,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,0.0,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,68.1985905136,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,0.0,0.0,-89.8854085938
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,68.1985905136,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,68.1985905136,0.0
0.0,-11.309932474,-73.300755766,-89.8854085938
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,68.1985905136,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,-73.300755766,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,-73.300755766,-89.8854085938
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,0.0,68.1985905136,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,-73.300755766,-89.8854085938
11.309932474,-49.398705355,0.0,89.4270613023
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,-73.300755766,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,0.0,0.0,-89.8854085938
11.309932474,0.0,68.1985905136,0.0
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,76.8659776936,0.0
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,-73.300755766,89.4270613023
11.309932474,-49.398705355,0.0,89.4270613023
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,0.0,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,89.4270613023
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,30.9637565321,-73.300755766,0.0
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,0.0,-89.8854085938
11.309932474,-49.398705355,0.0,0.0
11.309932474,0.0,0.0,-89.8854085938
11.309932474,0.0,0.0,-89.8854085938
0.0,30.9637565321,76.8659776936,66.7112746165
11.309932474,-49.398705355,0.0,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
11.309932474,0.0,68.1985905136,0.0
11.309932474,-49.398705355,68.1985905136,66.7112746165
0.0,30.9637565321,76.8659776936,66.7112746165
0.0,-11.309932474,76.8659776936,0.0
